,baths,baths_1qtr,baths_3qtr,baths_full,baths_half,beds,city,garage,list_price,lot_sqft,name,sold_date,sold_price,sqft,stories,sub_type,type,year_built
96,2.0,0,0.0,2.0,0.0,2.0,Los Angeles,2.0,539000.0,176679.0,0,2021-08-31,560000.0,1120.0,1.0,condo,condos,1981.0
97,4.0,0,0.0,3.0,1.0,4.0,Los Angeles,0.0,2250000.0,6896.0,0,2021-08-31,2300000.0,3471.0,2.0,0,single_family,1913.0
98,2.0,0,0.0,2.0,0.0,3.0,Los Angeles,2.0,1149000.0,5502.0,0,2021-08-31,1355000.0,1752.0,1.0,0,single_family,1972.0
99,3.0,0,0.0,3.0,0.0,4.0,Los Angeles,0.0,2175000.0,3070.0,0,2021-08-31,2100000.0,2527.0,2.0,0,multi_family,1988.0
100,5.0,0,2.0,2.0,1.0,5.0,Los Angeles,3.0,3995000.0,22242.0,0,2021-08-31,3700000.0,4934.0,2.0,0,single_family,1986.0
101,3.0,0,0.0,3.0,0.0,4.0,Los Angeles,3.0,1699000.0,9934.0,0,2021-08-31,1650000.0,2539.0,1.0,0,single_family,1967.0
102,2.0,0,0.0,2.0,0.0,3.0,Los Angeles,2.0,1295000.0,5754.0,0,2021-08-31,1512000.0,1697.0,1.0,0,single_family,1951.0
103,6.0,0,0.0,5.0,1.0,5.0,Los Angeles,2.0,2711000.0,6981.0,0,2021-08-31,2711000.0,3284.0,2.0,0,single_family,2021.0
104,1.0,0,0.0,1.0,0.0,2.0,Los Angeles,2.0,599850.0,4022.0,0,2021-08-31,600000.0,984.0,1.0,0,single_family,1937.0
105,2.0,0,1.0,1.0,0.0,3.0,Los Angeles,0.0,1099000.0,8485.0,0,2021-08-31,1340000.0,1250.0,1.0,0,single_family,1926.0
106,3.0,0,1.0,2.0,0.0,3.0,Los Angeles,3.0,1575000.0,4504.0,0,2021-08-31,1540000.0,2935.0,3.0,0,single_family,1920.0
107,2.0,0,0.0,2.0,0.0,3.0,Los Angeles,0.0,895000.0,68446.0,0,2021-08-31,880000.0,1367.0,0.0,condo,condos,1983.0
108,8.0,0,0.0,8.0,0.0,12.0,Los Angeles,0.0,1615000.0,5271.0,0,2021-08-31,1560000.0,4712.0,2.0,0,multi_family,1965.0
109,2.0,0,0.0,2.0,0.0,2.0,Los Angeles,2.0,450000.0,0.0,0,2021-08-31,487000.0,1183.0,1.0,townhouse,townhomes,1979.0
110,2.0,0,0.0,2.0,0.0,2.0,Los Angeles,2.0,405000.0,22184.0,0,2021-08-31,405000.0,815.0,1.0,condo,condos,1978.0
111,2.0,0,0.0,2.0,0.0,3.0,Los Angeles,2.0,849900.0,5580.0,0,2021-08-31,820000.0,1133.0,1.0,0,single_family,1976.0
112,3.0,0,0.0,2.0,1.0,4.0,Los Angeles,2.0,1199000.0,7209.0,0,2021-08-31,1165000.0,1998.0,1.0,0,single_family,1960.0
113,2.0,0,0.0,2.0,0.0,3.0,Los Angeles,2.0,1579000.0,7505.0,0,2021-08-31,1650000.0,1981.0,1.0,0,single_family,1937.0
114,4.0,0,0.0,4.0,0.0,4.0,Los Angeles,4.0,4699000.0,8668.0,0,2021-08-31,4800000.0,4220.0,2.0,0,single_family,0.0
115,2.0,0,0.0,2.0,0.0,1.0,Los Angeles,2.0,688000.0,65244.0,0,2021-08-31,690000.0,855.0,3.0,condo,condos,1986.0
116,0.0,0,0.0,0.0,0.0,0.0,Los Angeles,2.0,949990.0,6817.0,0,2021-08-31,1000000.0,1700.0,1.0,0,multi_family,1943.0
117,2.0,0,0.0,2.0,0.0,2.0,Los Angeles,2.0,369000.0,41970.0,0,2021-08-31,411000.0,997.0,1.0,condo,condos,1980.0
118,2.0,0,0.0,2.0,0.0,3.0,Los Angeles,2.0,849900.0,5000.0,0,2021-08-31,850000.0,1176.0,1.0,0,single_family,1924.0
119,4.0,0,1.0,3.0,0.0,6.0,Los Angeles,2.0,1425000.0,5798.0,0,2021-08-31,1415000.0,2162.0,2.0,0,single_family,1947.0
120,2.0,0,0.0,2.0,0.0,3.0,Los Angeles,2.0,1849000.0,6961.0,0,2021-08-31,1850000.0,2246.0,1.0,0,single_family,1961.0
121,2.0,0,0.0,2.0,0.0,3.0,Los Angeles,2.0,1396000.0,6120.0,0,2021-08-31,1345000.0,1313.0,1.0,0,single_family,1950.0
122,2.0,0,0.0,2.0,0.0,3.0,Los Angeles,1.0,600000.0,13231.0,0,2021-08-31,598000.0,1480.0,1.0,0,single_family,1957.0
123,1.0,0,0.0,1.0,0.0,1.0,Los Angeles,1.0,399999.0,86288.0,0,2021-08-31,415000.0,785.0,1.0,condo,condos,1970.0
124,3.0,0,0.0,2.0,1.0,4.0,Los Angeles,2.0,899000.0,7766.0,0,2021-08-31,890000.0,1844.0,2.0,0,single_family,1965.0
125,2.0,0,0.0,2.0,0.0,3.0,Los Angeles,2.0,1699000.0,7998.0,0,2021-08-31,1735000.0,2155.0,1.0,0,single_family,1941.0
126,2.0,0,0.0,2.0,0.0,2.0,Los Angeles,0.0,849000.0,130035.0,0,2021-08-31,856000.0,1566.0,3.0,condo,condos,1975.0
127,2.0,0,0.0,2.0,0.0,2.0,Los Angeles,2.0,500000.0,222457.0,0,2021-08-31,512000.0,1047.0,1.0,condo,condos,1981.0
128,1.0,0,0.0,1.0,0.0,3.0,Los Angeles,2.0,950000.0,5399.0,0,2021-08-31,950000.0,1053.0,1.0,0,single_family,1938.0
129,7.0,0,0.0,7.0,0.0,8.0,Los Angeles,0.0,2349000.0,6769.0,0,2021-08-31,2280000.0,4816.0,2.0,0,multi_family,1960.0
130,2.0,0,0.0,2.0,0.0,3.0,Los Angeles,2.0,1749000.0,8046.0,0,2021-08-31,1749000.0,2136.0,1.0,0,single_family,1960.0
131,2.0,0,0.0,2.0,0.0,4.0,Los Angeles,2.0,889000.0,6797.0,0,2021-08-31,954000.0,1427.0,1.0,0,single_family,1941.0
132,16.0,0,0.0,16.0,0.0,12.0,Los Angeles,0.0,2475000.0,7500.0,0,2021-08-31,2475000.0,4928.0,2.0,0,multi_family,2021.0
133,2.0,0,0.0,2.0,0.0,3.0,Los Angeles,0.0,649000.0,5001.0,0,2021-08-31,595000.0,1338.0,0.0,0,multi_family,1922.0
134,3.0,0,0.0,2.0,1.0,3.0,Los Angeles,2.0,1425000.0,2500.0,0,2021-08-31,1430000.0,1667.0,2.0,0,single_family,2015.0
135,2.0,0,0.0,2.0,0.0,2.0,Los Angeles,0.0,999000.0,4465.0,0,2021-08-31,960000.0,893.0,1.0,0,single_family,1921.0
136,2.0,0,0.0,1.0,1.0,3.0,Los Angeles,0.0,1100000.0,5197.0,0,2021-08-31,1260000.0,1195.0,1.0,0,single_family,1932.0
137,2.0,0,0.0,2.0,0.0,2.0,Los Angeles,0.0,689000.0,64151.0,0,2021-08-31,680000.0,910.0,23.0,condo,condos,1962.0
138,2.0,0,0.0,2.0,0.0,4.0,Los Angeles,0.0,1325000.0,7166.0,0,2021-08-31,1412000.0,1702.0,1.0,0,single_family,1947.0
139,3.0,0,0.0,3.0,0.0,4.0,Los Angeles,2.0,1200000.0,11048.0,0,2021-08-31,1107000.0,2400.0,1.0,0,single_family,1964.0
140,2.0,0,0.0,2.0,0.0,2.0,Los Angeles,0.0,189950.0,0.0,0,2021-08-31,185000.0,1152.0,0.0,0,mobile,2003.0
141,3.0,0,0.0,2.0,1.0,3.0,Los Angeles,2.0,500000.0,75764.0,0,2021-08-31,535000.0,1667.0,2.0,townhouse,townhomes,1979.0
142,2.0,0,0.0,2.0,0.0,2.0,Los Angeles,2.0,549000.0,130701.0,0,2021-08-31,622000.0,1286.0,2.0,townhouse,townhomes,1980.0
143,3.0,0,0.0,3.0,0.0,5.0,Los Angeles,2.0,1349000.0,11824.0,0,2021-08-31,1339000.0,2748.0,2.0,0,single_family,1965.0
144,3.0,0,0.0,2.0,1.0,4.0,Los Angeles,2.0,689000.0,108195.0,0,2021-08-31,710000.0,1926.0,2.0,0,single_family,2001.0
145,3.0,0,0.0,2.0,1.0,2.0,Los Angeles,0.0,999000.0,34295.0,0,2021-08-31,996000.0,1659.0,4.0,condo,condos,1985.0
146,0.0,0,0.0,0.0,0.0,0.0,Los Angeles,2.0,1099000.0,6483.0,0,2021-08-31,1350000.0,2507.0,0.0,0,multi_family,1921.0
147,2.0,0,0.0,2.0,0.0,3.0,Los Angeles,0.0,725000.0,2500.0,0,2021-08-31,798000.0,1160.0,1.0,0,single_family,1909.0
148,3.0,0,1.0,1.0,1.0,5.0,Los Angeles,0.0,1995000.0,0.0,0,2021-08-31,1995000.0,3272.0,2.0,0,single_family,1913.0
149,2.0,0,0.0,2.0,0.0,2.0,Los Angeles,2.0,1075000.0,5329.0,0,2021-08-31,1119570.0,1410.0,1.0,0,single_family,1948.0
150,5.0,0,0.0,5.0,0.0,6.0,Los Angeles,3.0,2499000.0,6382.0,0,2021-08-31,2450000.0,3100.0,1.0,0,multi_family,1922.0
151,3.0,0,0.0,2.0,1.0,3.0,Los Angeles,2.0,630900.0,37589.0,0,2021-08-31,600000.0,1461.0,2.0,condo,condos,2004.0
152,3.0,0,0.0,2.0,1.0,3.0,Los Angeles,2.0,925000.0,542334.0,0,2021-08-31,1040000.0,1750.0,2.0,townhouse,townhomes,1974.0
153,2.0,0,0.0,2.0,0.0,3.0,Los Angeles,2.0,729000.0,5004.0,0,2021-08-31,751000.0,1542.0,1.0,0,single_family,1967.0
154,3.0,0,0.0,2.0,1.0,2.0,Los Angeles,2.0,599900.0,197423.0,0,2021-08-31,655000.0,1655.0,2.0,townhouse,townhomes,1975.0
155,5.0,0,1.0,3.0,1.0,5.0,Los Angeles,3.0,6980000.0,100571.0,0,2021-08-31,6500000.0,5181.0,2.0,0,single_family,1937.0
156,1.0,0,0.0,1.0,0.0,1.0,Los Angeles,0.0,419000.0,12467.0,0,2021-08-31,421000.0,727.0,0.0,condo,condos,1977.0
157,3.0,0,0.0,2.0,1.0,3.0,Los Angeles,2.0,1749999.0,8377.0,0,2021-08-31,2025000.0,2164.0,1.0,0,single_family,1957.0
158,1.0,0,0.0,1.0,0.0,1.0,Los Angeles,0.0,379750.0,0.0,0,2021-08-31,379750.0,610.0,1.0,condo,condos,1987.0
159,2.0,0,0.0,2.0,0.0,3.0,Los Angeles,2.0,674900.0,8960.0,0,2021-08-31,740000.0,1076.0,1.0,0,single_family,1985.0
160,3.0,0,0.0,3.0,0.0,2.0,Los Angeles,2.0,487000.0,129138.0,0,2021-08-31,482000.0,1337.0,2.0,townhouse,townhomes,1974.0
161,2.0,0,0.0,2.0,0.0,3.0,Los Angeles,2.0,899000.0,7501.0,0,2021-08-31,870000.0,1500.0,1.0,0,single_family,1958.0
162,2.0,0,0.0,2.0,0.0,2.0,Los Angeles,2.0,599000.0,101581.0,0,2021-08-31,662000.0,1263.0,1.0,condo,condos,1989.0
163,3.0,0,0.0,3.0,0.0,2.0,Los Angeles,2.0,749950.0,79980.0,0,2021-08-31,750000.0,2246.0,2.0,townhouse,townhomes,1981.0
164,1.0,0,0.0,1.0,0.0,3.0,Los Angeles,2.0,750000.0,6741.0,0,2021-08-31,736000.0,1188.0,1.0,0,single_family,1947.0
165,2.0,0,0.0,2.0,0.0,2.0,Los Angeles,1.0,620000.0,2903.0,0,2021-08-31,620000.0,860.0,1.0,0,single_family,1922.0
166,2.0,0,0.0,2.0,0.0,2.0,Los Angeles,0.0,519000.0,7549.0,0,2021-08-31,519000.0,770.0,0.0,condo,condos,1990.0
167,0.0,0,0.0,0.0,0.0,0.0,Los Angeles,1.0,1260000.0,6535.0,0,2021-08-31,1220000.0,2448.0,1.0,0,multi_family,1922.0
168,2.0,0,0.0,2.0,0.0,2.0,Los Angeles,2.0,459000.0,271191.0,0,2021-08-31,510000.0,994.0,2.0,condo,condos,1976.0
169,3.0,0,0.0,2.0,1.0,2.0,Los Angeles,2.0,775000.0,13286.0,0,2021-08-31,749000.0,1334.0,4.0,condo,condos,1993.0
170,1.0,0,1.0,0.0,0.0,2.0,Los Angeles,0.0,114995.0,0.0,0,2021-08-31,99900.0,480.0,1.0,0,mobile,1971.0
